date,cost,category
2016/08/18,45,"First Year Picnic"
2016/08/29,50,"Intramurals"
2016/08/29,84.23,"First Year Picnic"
2016/08/29,6.75,"First Year Picnic"
2016/09/06,161.93,"Opening Meeting"
2016/09/15,55,"Intramurals"
2016/09/30,105,"Zooktoberfest"
2016/10/19,47.29,"Tailgate"
2016/10/25,9.87,"Birthday cakes"
2016/10/29,60.03,"Halloween Party"
2017/02/10,17.59,"Super Bowl Party"
2017/03/13,34.68,"International Dinner"
2017/03/27,50,"Intramurals"
2017/04/27,380.16,"Pub crawl"
2017/04/29,130.18,"Python Workshop"
2017/04/29,13.86,"Python Workshop"
